NAME,ADDRESS,CITY,STATE,ZIP
Kucinski-Murphy Park,1635 W 33rd Pl,Chicago,IL,60608
Sun Yat-Sen Park,251 W 24th Pl,Chicago,IL,60608
Bosley (William) Park,3044 S Bonfield St,Chicago,IL,60608
Armour Square Park,3309 S Shields Ave,Chicago,IL,60616
McKeon Park,3548 S Wallace St,Chicago,IL,60609
Donovan Park,3620 S Lituanica Ave,Chicago,IL,60609
Armour Elementary Park,922 W 33rd St,Chicago,IL,60608
Wilson (John P.) Park,1122 W 34th Pl,Chicago,IL,60608
"""Eleanor street boathouse"" Jacolik (Florian S.) Park",2731 S Eleanor St,Chicago,IL,60608
Park No. 571,2754 S Eleanor St,Chicago,IL,60608
Lauridsen (Taylor) Park,704 W 42nd St,Chicago,IL,60609
Sidewalk by St Jerome Church,2823 S Princeton Ave,Chicago,IL,60616
Humbert Park,3050 S Lowe Ave,Chicago,IL,60616
McGuane Park,2901 S Poplar Ave,Chicago,IL,60608
Ping Tom Park,1700 S Wentworth Ave,Chicago,IL,60616
Campaign Office,3100 S Morgan St,Chicago,IL,60608