Location,Address,Zones,Street Canvass,Bathroom,Notes
Kucinski-Murphy Park,"1635 W 33rd Pl, Chicago, IL 60608","40, 41, 42, 43",Park,,
Sun Yat-Sen Park,"251 W 24th Pl, Chicago, IL 60616","3, 4, 1",,,also East half of Zone 10
Bosley (William) Park,"3044 S Bonfield St, Chicago, IL 60608","12, 14, 19, 22, 23",31st/Morgan,,
Armour Square Park,"3309 S Shields Ave, Chicago, IL 60616","5, 7, 33, 34, 37",Stay in the park,,could launch into south armour square (zone 6 & 8)
McKeon Park,"3548 S Wallace St, Chicago, IL 60609","26, 29, 30, 32","Park, 35th/Halsted",,
Donovan Park,"3620 S Lituanica Ave, Chicago, IL 60609","25, 26, 29, 32","Park, Morgan Ave",,
33rd & Lituanica (park by Armour Elementary),33rd & Lituanica,"18, 20, 22, 21 35","Park, Morgan b/w 31st & 34th",,Zone 19 & 35 if needed
Wilson (John P.) Park,"1122 W 34th Pl, Chicago, IL 60608","15, 16, 17, 18, 19","Park, Racine (outside bridgeport art center)",,Can send to zone 20 if needed
"""Eleanor street boathouse"" Jacolik (Florian S.) Park","2731 S Eleanor St, Chicago, IL 60608","10, 11, 13, 15",park,,Closed?
Park No. 571,"2754 S Eleanor St, Chicago, IL 60608","10, 11, 13",park,,"Is accross I-55 walkable? if so we can add 12,14, 15"
Lauridsen (Taylor) Park,"704 W 42nd St, Chicago, IL 60609","44, 45, 46",Park,,
Sidewalk by St Jerome Church,"2823 S Princeton Ave, Chicago, IL 60616","6, 8,  9",,,
Humbert Park,"3050 S Lowe Ave, Chicago, IL 60616","24, 27, 36, 39","Park, 31st/Halsted, ",,
McGuane Park,"2901 S Poplar Ave, Chicago, IL 60608","24, 28, 31","31st/Halsted, Palmsiano Park",,
Ping Tom Park,W 19th St & S Wells st,2,,,
Campaign Office,"3100 S Morgan st, chicago, il 60608","23, 22, 19, 21",,,
,,,Field Map- Zones & Launch Locations w/ descriptions,,
,,,https://www.google.com/maps/d/u/0/edit?mid=1uqpptKjOSPattbRGQMBWptkXSrdwBAw&usp=sharing,,